Time,Level,Module,Message,Screenshot
11:10:33,INFO,PopupExploration,to home fixture initialized.,
11:10:37,INFO,PopupExploration,[to_home] Attempt 1/4 to go to home screen,
11:10:38,INFO,PopupExploration,[to_home] Sent BACK keyevent.,
11:10:42,INFO,PopupExploration,[to_home] Attempt 2/4 to go to home screen,
11:10:42,INFO,PopupExploration,[to_home] Sent BACK keyevent.,
11:10:44,INFO,PopupExploration,[to_home] Already at Home screen.,
11:10:44,INFO,setup method,Setting up PopupExploration test environment...,
11:10:47,INFO,setup method,PopupExploration initialized successfully,
11:10:51,INFO,PopupExploration,[to_home] Attempt 1/4 to go to home screen,
11:10:52,INFO,PopupExploration,[to_home] Sent BACK keyevent.,
11:10:53,INFO,PopupExploration,[to_home] Already at Home screen.,
