Time,Level,Module,Message,Screenshot
10:34:28,INFO,PopupMilitary,to home fixture initialized.,
10:34:31,INFO,PopupMilitary,[to_home] Saved failure screenshot: D:\FSTest\LogFiles\screenshot\1767584071242.jpg,
10:34:31,INFO,PopupMilitary,[to_home] No approximate match found; raw screenshot saved for analysis.,
10:34:31,INFO,PopupMilitary,[to_home] Attempt 1/4 to go to home screen,
10:34:31,INFO,PopupMilitary,[to_home] Sent BACK keyevent.,
10:34:33,INFO,PopupMilitary,[to_home] Screenshot path: D:\FSTest\LogFiles\screenshot\1767584073758.jpg,
10:34:33,INFO,PopupMilitary,[to_home] Marked screenshot saved: D:\FSTest\LogFiles\screenshot\marked_screenshots\campaign_button_marked_1.png,
10:34:33,INFO,PopupMilitary,"[to_home] Campaign button found at position: [303, 630]",
10:34:33,INFO,setup method,Setting up PopupMilitary test environment...,
10:34:37,INFO,PopupMilitary,[to_home] Already at Home screen.,
