Time,Level,Module,Message,Screenshot
16:38:19,INFO,hehehehhe LV3,[ensure_mode_selected] Mode normal is already selected.,
16:38:19,INFO,hehehehhe LV3,Target level 16 should be in World 3,
16:38:19,INFO,hehehehhe LV3,Current world: 3,
16:38:19,INFO,hehehehhe LV3,Looking for level 16 in normal levels,
16:38:20,INFO,hehehehhe LV3,Refresh attempt 1: Found 21 levels,
16:38:20,INFO,hehehehhe LV3,✓ Found target level 16 on attempt 1,
16:38:20,INFO,hehehehhe LV3,Found 21 normal levels,
16:38:20,INFO,hehehehhe LV3,"Found level 16, clicking on it",
16:38:22,INFO,hehehehhe LV3,Successfully clicked on level 16,
16:38:23,INFO,hehehehhe LV3,"[read_1stRewardLv_popup_prepare] 1st Reward for mode normal: {'gold': 400, 'gem': 3}",
16:38:24,INFO,hehehehhe LV3,"[normal_lv_play] Initial resources before starting level: {'gold': 15050, 'gem': 1}",
16:38:28,INFO,hehehehhe LV3,"[normal_lv_play] Ingame UI found, level started successfully.",
16:38:37,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 0, gem: 0, killed percent: 0",
16:38:49,INFO,hehehehhe LV3,[handle_revival_popup] Revival popup detected.,
16:38:49,INFO,hehehehhe LV3,"[handle_revival_popup] Not enough gems (1) to revive (cost: 30), invoking add_gem.",
16:38:53,INFO,hehehehhe LV3,[handle_revival_popup] Clicked revive with gems.,
16:38:53,INFO,hehehehhe LV3,[handle_revival_popup] Gems after revival: 21,
16:38:54,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 18, gem: 0, killed percent: 0",
16:39:01,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 46, gem: 0, killed percent: 0",
16:39:10,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 46, gem: 0, killed percent: 0",
16:39:17,INFO,hehehehhe LV3,[handle_revival_popup] Revival popup detected.,
16:39:17,INFO,hehehehhe LV3,"[handle_revival_popup] Not enough gems (21) to revive (cost: 50), invoking add_gem.",
16:39:21,INFO,hehehehhe LV3,[handle_revival_popup] Clicked revive with gems.,
16:39:21,INFO,hehehehhe LV3,[handle_revival_popup] Gems after revival: 21,
16:39:22,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 46, gem: 1, killed percent: 0",
16:39:30,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 127, gem: 1, killed percent: 0",
16:39:39,INFO,hehehehhe LV3,"[stats_poller] Collected gold: 141, gem: 1, killed percent: 0",
16:39:46,INFO,hehehehhe LV3,[run_level_until_end] Level ended with WIN.,
16:39:49,INFO,hehehehhe LV3,[verify_endgame_popup] PopupGameWin found successfully.,
16:39:53,INFO,hehehehhe LV3,"Initial resource: {'gold': 15050, 'gem': 21}",
16:39:53,INFO,hehehehhe LV3,"Ingame results: WIN, collected_gold: 141, collected_gem: 1",
16:39:53,INFO,hehehehhe LV3,"1st reward: {'gold': 400, 'gem': 3}, bonus_gold_amount: 0",
16:39:53,INFO,hehehehhe LV3,Game result: WIN,
16:39:53,INFO,hehehehhe LV3,"Collected during gameplay - Gold: 15591, Gem: 25",
16:39:53,INFO,hehehehhe LV3,✓ Resource verification successful!,
16:39:53,INFO,hehehehhe LV3,"Gold verification: True (Expected: 15591, Actual: 15606)",
16:39:53,INFO,hehehehhe LV3,"Gem verification: True (Expected: 25, Actual: 25)",
16:39:56,INFO,hehehehhe LV3,[navigate_to_home] Clicked btn_next to navigate to home.,
16:40:04,WARNING,hehehehhe LV3,"Not at home screen yet, attempt 1","=HYPERLINK(""file:///D:/FSTest/LogFiles/screenshot/2026-01-15_16h40.png"", ""View"")"
16:40:06,INFO,hehehehhe LV3,Successfully at home screen for final verification,
16:40:10,INFO,hehehehhe LV3,"[verify_home_resource_consistent] Home resources: {'gold': 15606, 'gem': 25}, Expected final resources: {'gold': 15606, 'gem': 25}",
