Time,Level,Module,Message,Screenshot
17:16:18,INFO,PopupMission,to home fixture initialized.,
17:16:22,INFO,PopupMission,[to_home] Attempt 1/4 to go to home screen,
17:16:22,INFO,PopupMission,[to_home] Sent BACK keyevent.,
17:16:24,INFO,PopupMission,[to_home] Already at Home screen.,
17:16:24,INFO,setup method,Setting up PopupMissionAchivement test environment...,
17:16:27,INFO,setup method,PopupMissionAchivement setup completed successfully,
17:16:27,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,Testing all daily mission item details...,
17:16:33,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Found 5 daily missions,
17:16:33,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,Testing mission 1...,
17:16:37,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 1 - Name: Play aircraft trial 2 time(s), Progress: 2/2, Background: UI5_Target_BG_2",
17:16:37,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Mission 1 is completed but not claimed (2/2),
17:16:44,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 1 reward 1 - Icon: icon_daily_quest_gem, Amount: 3",
17:16:44,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 1 reward 2 - Icon: icon_coin, Amount: 2,400",
17:16:44,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 1 reward 3 - Icon: Item_Passpoint, Amount: 50",
17:16:44,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Mission 1 marked for claiming later,
17:16:44,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,Testing mission 2...,
17:16:48,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 2 - Name: Use Bata FD - 01 10 time(s), Progress: 2/10, Background: UI5_Target_BG_1",
17:16:48,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Mission 2 is incomplete (2/10),
17:16:55,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 2 reward 1 - Icon: icon_daily_quest_gem, Amount: 3",
17:16:55,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 2 reward 2 - Icon: icon_coin, Amount: 2,400",
17:16:55,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 2 reward 3 - Icon: Item_Passpoint, Amount: 50",
17:16:55,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Mission 2 has correct incomplete state,
17:16:55,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,Testing mission 3...,
17:16:59,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 3 - Name: Play campaign level 3 time(s), Progress: 0/3, Background: UI5_Target_BG_1",
17:16:59,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Mission 3 is incomplete (0/3),
17:17:06,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 3 reward 1 - Icon: icon_daily_quest_gem, Amount: 3",
17:17:06,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 3 reward 2 - Icon: icon_coin, Amount: 2,400",
17:17:06,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 3 reward 3 - Icon: Item_Passpoint, Amount: 50",
17:17:06,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,✓ Mission 3 has correct incomplete state,
17:17:06,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,Testing mission 4...,
17:17:10,INFO,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✓ Mission 4 - Name: Collect 1,500 gold(s) in campaign, Progress: 0/1,500, Background: UI5_Target_BG_1",
17:17:10,ERROR,tests:test_PopupMissionAchivement.py:TestPopupMissionAchivement:test_mission_item_details,"✗ Mission 4 has invalid progress format: 0/1,500","=HYPERLINK(""file:///D:/FSTest/LogFiles/screenshot/2025-07-30_17h17.png"", ""View"")"
17:17:15,INFO,PopupMission,[to_home] Attempt 1/4 to go to home screen,
17:17:15,INFO,PopupMission,[to_home] Sent BACK keyevent.,
17:17:16,INFO,PopupMission,[to_home] Already at Home screen.,
